KYZ,"{""en"": ""Kyzyl Airport"", ""ru"": ""Кызыл""}","{""en"": ""Kyzyl"", ""ru"": ""Кызыл""}","(94.4005966186523,51.6693992614746)",Asia/Krasnoyarsk
NOZ,"{""en"": ""Spichenkovo Airport"", ""ru"": ""Спиченково""}","{""en"": ""Novokuznetsk"", ""ru"": ""Новокузнецк""}","(86.877197265625,53.8114013671875)",Asia/Novokuznetsk
GRV,"{""en"": ""Khankala Air Base"", ""ru"": ""Грозный""}","{""en"": ""Grozny"", ""ru"": ""Грозный""}","(45.7840995788574,43.2980995178223)",Europe/Moscow
NAL,"{""en"": ""Nalchik Airport"", ""ru"": ""Нальчик""}","{""en"": ""Nalchik"", ""ru"": ""Нальчик""}","(43.6366004943848,43.5129013061523)",Europe/Moscow
OGZ,"{""en"": ""Beslan Airport"", ""ru"": ""Беслан""}","{""en"": ""Beslan"", ""ru"": ""Владикавказ""}","(44.6066017151,43.2051010132)",Europe/Moscow
ESL,"{""en"": ""Elista Airport"", ""ru"": ""Элиста""}","{""en"": ""Elista"", ""ru"": ""Элиста""}","(44.3308982849121,46.3739013671875)",Europe/Moscow
SLY,"{""en"": ""Salekhard Airport"", ""ru"": ""Салехард""}","{""en"": ""Salekhard"", ""ru"": ""Салехард""}","(66.6110000610352,66.5907974243164)",Asia/Yekaterinburg
HMA,"{""en"": ""Khanty Mansiysk Airport"", ""ru"": ""Ханты-Мансийск""}","{""en"": ""Khanty-Mansiysk"", ""ru"": ""Ханты-Мансийск""}","(69.0860977172852,61.0284996032715)",Asia/Yekaterinburg
NYA,"{""en"": ""Nyagan Airport"", ""ru"": ""Нягань""}","{""en"": ""Nyagan"", ""ru"": ""Нягань""}","(65.6149978637695,62.1100006103516)",Asia/Yekaterinburg
OVS,"{""en"": ""Sovetskiy Airport"", ""ru"": ""Советский""}","{""en"": ""Sovetskiy"", ""ru"": ""Советский""}","(63.6019134521484,61.3266220092773)",Asia/Yekaterinburg
IJK,"{""en"": ""Izhevsk Airport"", ""ru"": ""Ижевск""}","{""en"": ""Izhevsk"", ""ru"": ""Ижевск""}","(53.4575004577637,56.8280982971191)",Europe/Samara
KVX,"{""en"": ""Pobedilovo Airport"", ""ru"": ""Победилово""}","{""en"": ""Kirov"", ""ru"": ""Киров""}","(49.348300933838,58.503299713135)",Europe/Moscow
NYM,"{""en"": ""Nadym Airport"", ""ru"": ""Надым""}","{""en"": ""Nadym"", ""ru"": ""Надым""}","(72.6988983154297,65.4809036254883)",Asia/Yekaterinburg
NFG,"{""en"": ""Nefteyugansk Airport"", ""ru"": ""Нефтеюганск""}","{""en"": ""Nefteyugansk"", ""ru"": ""Нефтеюганск""}","(72.6500015258789,61.1082992553711)",Asia/Yekaterinburg
KRO,"{""en"": ""Kurgan Airport"", ""ru"": ""Курган""}","{""en"": ""Kurgan"", ""ru"": ""Курган""}","(65.4156036376953,55.4752998352051)",Asia/Yekaterinburg
EGO,"{""en"": ""Belgorod International Airport"", ""ru"": ""Белгород""}","{""en"": ""Belgorod"", ""ru"": ""Белгород""}","(36.5900993347168,50.643798828125)",Europe/Moscow
URS,"{""en"": ""Kursk East Airport"", ""ru"": ""Курск-Восточный""}","{""en"": ""Kursk"", ""ru"": ""Курск""}","(36.2956008911133,51.7505989074707)",Europe/Moscow
LPK,"{""en"": ""Lipetsk Airport"", ""ru"": ""Липецк""}","{""en"": ""Lipetsk"", ""ru"": ""Липецк""}","(39.5377998352051,52.7028007507324)",Europe/Moscow
VKT,"{""en"": ""Vorkuta Airport"", ""ru"": ""Воркута""}","{""en"": ""Vorkuta"", ""ru"": ""Воркута""}","(63.9930992126465,67.4886016845703)",Europe/Moscow
UUA,"{""en"": ""Bugulma Airport"", ""ru"": ""Бугульма""}","{""en"": ""Bugulma"", ""ru"": ""Бугульма""}","(52.801700592041,54.6399993896484)",Europe/Moscow
JOK,"{""en"": ""Yoshkar-Ola Airport"", ""ru"": ""Йошкар-Ола""}","{""en"": ""Yoshkar-Ola"", ""ru"": ""Йошкар-Ола""}","(47.9047012329102,56.7005996704102)",Europe/Moscow
CSY,"{""en"": ""Cheboksary Airport"", ""ru"": ""Чебоксары""}","{""en"": ""Cheboksary"", ""ru"": ""Чебоксары""}","(47.3473014831543,56.0903015136719)",Europe/Moscow
ULY,"{""en"": ""Ulyanovsk East Airport"", ""ru"": ""Ульяновск-Восточный""}","{""en"": ""Ulyanovsk"", ""ru"": ""Ульяновск""}","(48.8027000427246,54.4010009765625)",Europe/Samara
OSW,"{""en"": ""Orsk Airport"", ""ru"": ""Орск""}","{""en"": ""Orsk"", ""ru"": ""Орск""}","(58.5956001281738,51.0724983215332)",Asia/Yekaterinburg
PEZ,"{""en"": ""Penza Airport"", ""ru"": ""Пенза""}","{""en"": ""Penza"", ""ru"": ""Пенза""}","(45.0210990905762,53.1105995178223)",Europe/Moscow
SKX,"{""en"": ""Saransk Airport"", ""ru"": ""Саранск""}","{""en"": ""Saransk"", ""ru"": ""Саранск""}","(45.2122573852539,54.125129699707)",Europe/Moscow
TBW,"{""en"": ""Donskoye Airport"", ""ru"": ""Донское""}","{""en"": ""Tambow"", ""ru"": ""Тамбов""}","(41.482799530029,52.806098937988)",Europe/Moscow
UKX,"{""en"": ""Ust-Kut Airport"", ""ru"": ""Усть-Кут""}","{""en"": ""Ust-Kut"", ""ru"": ""Усть-Кут""}","(105.730003356934,56.8567008972168)",Asia/Irkutsk
GDZ,"{""en"": ""Gelendzhik Airport"", ""ru"": ""Геленджик""}","{""en"": ""Gelendzhik"", ""ru"": ""Геленджик""}","(38.0124807358,44.5820926295)",Europe/Moscow
IAR,"{""en"": ""Tunoshna Airport"", ""ru"": ""Туношна""}","{""en"": ""Yaroslavl"", ""ru"": ""Ярославль""}","(40.157398223877,57.5606994628906)",Europe/Moscow
NBC,"{""en"": ""Begishevo Airport"", ""ru"": ""Бегишево""}","{""en"": ""Nizhnekamsk"", ""ru"": ""Нижнекамск""}","(52.0924987792969,55.5647010803223)",Europe/Moscow
ULV,"{""en"": ""Ulyanovsk Baratayevka Airport"", ""ru"": ""Баратаевка""}","{""en"": ""Ulyanovsk"", ""ru"": ""Ульяновск""}","(48.2266998291,54.2682991028)",Europe/Samara
SWT,"{""en"": ""Strezhevoy Airport"", ""ru"": ""Стрежевой""}","{""en"": ""Strezhevoy"", ""ru"": ""Стрежевой""}","(77.6600036621,60.709400177)",Asia/Krasnoyarsk
EYK,"{""en"": ""Beloyarskiy Airport"", ""ru"": ""Белоярский""}","{""en"": ""Beloyarsky"", ""ru"": ""Белоярский""}","(66.698600769,63.6869010925)",Asia/Yekaterinburg
KLF,"{""en"": ""Grabtsevo Airport"", ""ru"": ""Калуга""}","{""en"": ""Kaluga"", ""ru"": ""Калуга""}","(36.3666687012,54.5499992371)",Europe/Moscow
RGK,"{""en"": ""Gorno-Altaysk Airport"", ""ru"": ""Горно-Алтайск""}","{""en"": ""Gorno-Altaysk"", ""ru"": ""Горно-Алтайск""}","(85.8332977295,51.9667015076)",Asia/Krasnoyarsk
KRR,"{""en"": ""Krasnodar Pashkovsky International Airport"", ""ru"": ""Краснодар""}","{""en"": ""Krasnodar"", ""ru"": ""Краснодар""}","(39.170501708984,45.034698486328)",Europe/Moscow
MCX,"{""en"": ""Uytash Airport"", ""ru"": ""Уйташ""}","{""en"": ""Makhachkala"", ""ru"": ""Махачкала""}","(47.6523017883301,42.8167991638184)",Europe/Moscow
KZN,"{""en"": ""Kazan International Airport"", ""ru"": ""Казань""}","{""en"": ""Kazan"", ""ru"": ""Казань""}","(49.278701782227,55.606201171875)",Europe/Moscow
REN,"{""en"": ""Orenburg Central Airport"", ""ru"": ""Оренбург-Центральный""}","{""en"": ""Orenburg"", ""ru"": ""Оренбург""}","(55.4566993713379,51.7957992553711)",Asia/Yekaterinburg
UFA,"{""en"": ""Ufa International Airport"", ""ru"": ""Уфа""}","{""en"": ""Ufa"", ""ru"": ""Уфа""}","(55.874401092529,54.557498931885)",Asia/Yekaterinburg
OVB,"{""en"": ""Tolmachevo Airport"", ""ru"": ""Толмачёво""}","{""en"": ""Novosibirsk"", ""ru"": ""Новосибирск""}","(82.650703430176,55.012599945068)",Asia/Novosibirsk
CEE,"{""en"": ""Cherepovets Airport"", ""ru"": ""Череповец""}","{""en"": ""Cherepovets"", ""ru"": ""Череповец""}","(38.0158004761,59.273601532)",Europe/Moscow
OMS,"{""en"": ""Omsk Central Airport"", ""ru"": ""Омск-Центральный""}","{""en"": ""Omsk"", ""ru"": ""Омск""}","(73.3105010986328,54.9669990539551)",Asia/Omsk
ROV,"{""en"": ""Rostov-on-Don Airport"", ""ru"": ""Ростов-на-Дону""}","{""en"": ""Rostov"", ""ru"": ""Ростов-на-Дону""}","(39.8180999756,47.2582015991)",Europe/Moscow
AER,"{""en"": ""Sochi International Airport"", ""ru"": ""Сочи""}","{""en"": ""Sochi"", ""ru"": ""Сочи""}","(39.956600189209,43.449901580811)",Europe/Moscow
VOG,"{""en"": ""Volgograd International Airport"", ""ru"": ""Гумрак""}","{""en"": ""Volgograd"", ""ru"": ""Волгоград""}","(44.3455009460449,48.7825012207031)",Europe/Volgograd
BQS,"{""en"": ""Ignatyevo Airport"", ""ru"": ""Игнатьево""}","{""en"": ""Blagoveschensk"", ""ru"": ""Благовещенск""}","(127.412002563477,50.4253997802734)",Asia/Yakutsk
GDX,"{""en"": ""Sokol Airport"", ""ru"": ""Магадан""}","{""en"": ""Magadan"", ""ru"": ""Магадан""}","(150.720001220703,59.9109992980957)",Asia/Magadan
HTA,"{""en"": ""Chita-Kadala Airport"", ""ru"": ""Чита""}","{""en"": ""Chita"", ""ru"": ""Чита""}","(113.306,52.026299)",Asia/Chita
BTK,"{""en"": ""Bratsk Airport"", ""ru"": ""Братск""}","{""en"": ""Bratsk"", ""ru"": ""Братск""}","(101.697998046875,56.3706016540527)",Asia/Irkutsk
IKT,"{""en"": ""Irkutsk Airport"", ""ru"": ""Иркутск""}","{""en"": ""Irkutsk"", ""ru"": ""Иркутск""}","(104.38899993896,52.268001556396)",Asia/Irkutsk
UUD,"{""en"": ""Ulan-Ude Airport (Mukhino)"", ""ru"": ""Байкал""}","{""en"": ""Ulan-ude"", ""ru"": ""Улан-Удэ""}","(107.438003540039,51.8078002929688)",Asia/Irkutsk
MMK,"{""en"": ""Murmansk Airport"", ""ru"": ""Мурманск""}","{""en"": ""Murmansk"", ""ru"": ""Мурманск""}","(32.7508010864258,68.7817001342773)",Europe/Moscow
ABA,"{""en"": ""Abakan Airport"", ""ru"": ""Абакан""}","{""en"": ""Abakan"", ""ru"": ""Абакан""}","(91.3850021362305,53.7400016784668)",Asia/Krasnoyarsk
BAX,"{""en"": ""Barnaul Airport"", ""ru"": ""Барнаул""}","{""en"": ""Barnaul"", ""ru"": ""Барнаул""}","(83.5384979248047,53.3638000488281)",Asia/Krasnoyarsk
AAQ,"{""en"": ""Anapa Vityazevo Airport"", ""ru"": ""Витязево""}","{""en"": ""Anapa"", ""ru"": ""Анапа""}","(37.347301483154,45.002101898193)",Europe/Moscow
CNN,"{""en"": ""Chulman Airport"", ""ru"": ""Чульман""}","{""en"": ""Neryungri"", ""ru"": ""Нерюнгри""}","(124.91400146484,56.913898468018)",Asia/Yakutsk
